Size,Time
1000000,0.00035
40960000,0.000394
80920000,0.000355
120880000,0.000361
160840000,0.000353
200800000,0.000378
240760000,0.000369
280720000,0.000393
320680000,0.00038
360640000,0.000383
400600000,0.000382
440560000,0.000394
480520000,0.000384
520480000,0.000386
560440000,0.000388
600400000,0.000385
640360000,0.000384
680320000,0.000386
720280000,0.000408
760240000,0.000394
800200000,0.000399
840160000,0.000399
880120000,0.000397
920080000,0.000396
960040000,0.000397
