Size,Time
1000000,2.68509
40960000,110.748
80920000,201.521
120880000,285.449
160840000,385.742
200800000,513.551
240760000,604.768
280720000,666.218
320680000,736.033
360640000,827.325
400600000,917.824
440560000,1009.17
480520000,1102.95
520480000,1195.63
560440000,1294.09
600400000,1381.81
640360000,1478.04
680320000,1569.48
720280000,1652.54
760240000,1751.36
800200000,1840.37
840160000,1932.41
880120000,2026.55
920080000,2111.43
960040000,2209.34
