Size,Time
1000000,0.000236
40960000,0.000235
80920000,0.000186
120880000,0.000187
160840000,0.000195
200800000,0.000199
240760000,0.000194
280720000,0.000198
320680000,0.000198
360640000,0.000195
400600000,0.000205
440560000,0.000207
480520000,0.000204
520480000,0.000207
560440000,0.000207
600400000,0.000205
640360000,0.000203
680320000,0.000209
720280000,0.000203
760240000,0.000205
800200000,0.000212
840160000,0.000203
880120000,0.000213
920080000,0.00021
960040000,0.000207
