Size,Time
1000000,0.000228
40960000,0.000272
80920000,0.00027
120880000,0.000248
160840000,0.000252
200800000,0.000257
240760000,0.000252
280720000,0.000264
320680000,0.000257
360640000,0.000262
400600000,0.000259
440560000,0.000263
480520000,0.000257
520480000,0.000263
560440000,0.000265
600400000,0.000268
640360000,0.000262
680320000,0.000272
720280000,0.000265
760240000,0.000271
800200000,0.000263
840160000,0.000267
880120000,0.000263
920080000,0.000269
960040000,0.000265
